District ;Street ;Building;Pharmacy_name ;Enterpreneur_name;Phone_number_1;Phone number 2;Phone number 3;Phone number 4;Cellphone_number_1;Cellphone_number_2;Hours_of_work_(weekdays);Hours_of_work_(Saturday) ;Hours_of_work_(Sunday);E-mail_1;E-mail_2
Залізничний;Виговського І.;32;Аптека «Пульс»;ТОВ «Декада 2000»;0322459928;;;;;;цілодобово;цілодобово;цілодобово;yura_dekada@ukr.net;
Залізничний;Виговського І.;47;Аптека «Сальве»;ТОВ «Сальве Львів»;;;;;0672233589;;08:00-21:00;08:00-21:00;08:00-21:00;ap17.lviv@salve.com.ua;
Залізничний;Виговського І.;83;Аптека ;СПД-ФО Овсяник О.М. ;;;;;0973442186;;цілодобово;цілодобово;цілодобово;ovsanik@gmail.com;
Залізничний;Виговського І.;89;Аптека ;СПД-ФО Мойшевич Світлана Михайлівна ;;;;;;;10:00-20:00;11:00-18:00;12:00-16:00;;
Залізничний;Городоцька;64;«Зелена аптека планети здоров'я»;СПД-ФО Лесецька С.В.;0322333234;;;;;;09:00-18:00;09:00-15:00;вихідний;narlik@bk.ru;
Залізничний;Городоцька;66;Аптека №43;ТзОВ «Аптека №43»;0322331179;;;;;;08:00-20:00;08:00-20:00;10:00-16:00;;
Залізничний;Городоцька;82;Аптека «Знахар»;ТОВ «Візард-Л»;0322381750;;;;;;08:00-21:00;вихідний;вихідний;berlin.bogdana@gmail.com;
Залізничний;Городоцька;82;Аптека «Азовфарм»;ТОВ «Екоіллічпродукт»;0322381946;;;;;;08:00-21:00;08:00-21:00;08:00-20:00;apteka5@ekoip.biz;
Залізничний;Городоцька;88;Аптека «Рецептика»;ТзОВ«І.К.ВЕЛ»;0322373501;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;zakaz@ikwell.dp.ua;
Залізничний;Городоцька;102;«Аптека низьких цін»;ТзОВ «Аптека низьких цін» Львів»;0322370503;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;lviv@aptekanizkihcen.ua;
Залізничний;Городоцька;212;Аптека «3і»;ТОВ «Фірма «Медфарм»;0322676263;;;;0503805914;;цілодобово;цілодобово;цілодобово;;
Залізничний;Городоцька;218;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0800302060;;;;;;цілодобово;цілодобово;цілодобово;office@market-univetsal.com.ua;
Залізничний;Городоцька;300;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322439393      ;0800302060;;;;;09:30-20:30;09:00-20:00;09:00-19:00;office@market-univetsal.com.ua;
Залізничний;Караджича В.;29б;Аптека ;ТОВ «Хмельницька аптека оригінальних препаратів»;;;;;0673838515;673836313;08:00-20:00;08:00-20:00;08:00-20:00;lv1apteka.original@gmail.com;
Залізничний;Кульпарківська;158;Аптека ;СПД-ФО Говенко Ірина Володимирівна ;;;;;;;цілодобово;цілодобово;цілодобово;;
Залізничний;Кульпарківська;226а;Аптека «Доброго дня»;ТзОВ «Фармастор»;0322328755;;;;0633112486;;09:00-22:00;09:00-22:00;09:00-22:00;lv_kultpark_226a@farmastor.com;
Залізничний;Любінська;96;«Сімейна аптека»;ПП «Аптека аронія»;0322622037;;;;;;08:00-21:00;09:00-20:00;09:00-20:00;dovidka@sa.lviv.ua;
Залізничний;Любінська;89;Аптека «Подорожник»;Федечко Ярослав Степанович;0322928284;;;;0676706087;;08:00-21:00;08:00-20:00;08:00-20:00;;
Залізничний;Любінська;104;Аптека «3і»;ТОВ «Аптека «Довіри»;0322620015;;;;;;цілодобово;цілодобово;цілодобово;;
Залізничний;Вовчка Марка;31;Аптека ;ТзОВ «Аралія»;0322333533;;;;;;;;;tzov.araliya@gmail.com;
Залізничний;Низинна;2;«Аптека низьких цін»;ТзОВ «Аптека низьких цін» Львів»;0322679632;;;;;;;;;lviv@aptekanizkihcen.ua;
Залізничний;Патона Є.;4/1;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0800302060;;;;;;;;;office@market-univetsal.com.ua;
Залізничний;Патона Є.;13;«Аптека. Цілодобово. Біомед»;СПД-ФО Матрунич Г.І.;;;;;0676752124;;цілодобово;цілодобово;цілодобово;office@biomed.lviv.ua;
Залізничний;Патона Є.;31;Аптека «Розмарин»;СПД-ФО Мельник Мар'яна Богданівна ;0322951298;;;;;;цілодобово;цілодобово;цілодобово;aptekapatona@i.ua;
Залізничний;Повітряна;30;Аптека ;ТзОВ «Аптека №30»;0322673754;;;;;;;;;okhtey@gmail,com;
Залізничний;Повітряна;99;Аптека «Пульс»;ТОВ «Декада 2000»;0322670855;;;;;;;;;yura_dekada@ukr.net;
Залізничний;Повітряна;99;Аптека «3і» (аптечний пункт №6);ТОВ «Аптека «Довіри»;0322670644;;;;0504497694;;;;;;
Залізничний;Повітряна;99;Аптека «3і» (аптечний пункт №7);ТОВ «Аптека «Довіри»;;;;;0504328350;;;;;;
Залізничний;Роксоляни;24;Аптека «Для тебе»;ТОВ «Лім-Ігор»;0322312882;;;;;;цілодобово;цілодобово;цілодобово;lim-buh@ukr.net;
Залізничний;Садова;2а;Аптека «Пульс»;ТОВ «Декада 2000»;0322453431;;;;;;;;;yura_dekada@ukr.net;
Залізничний;Петлюри С.;2а;«Аптека низьких цін»;ТзОВ «Аптека низьких цін» Львів»;0322295132;;;;;;;;;lviv@aptekanizkihcen.ua;
Залізничний;Петлюри С.;17;«Сімейна аптека»;ПП «Аптека аронія»;0322922305;;;;;;;;;dovidka@sa.lviv.ua;
Залізничний;Чернівецька;21;«Сімейна аптека»;ПП «Аптека аронія»;0322378987;;;;;;цілодобово;цілодобово;цілодобово;dovidka@sa.lviv.ua;
Залізничний;Широка;64;Аптека «Подорожник»;ПП «Соломія-Сервіс»;0322470876;;;;0978509025;;;;;;
Залізничний;Широка;64;Аптечний склад «Бам»;ТзОВ «Повноділ»;;;;;0670112202;;;;;;
Залізничний;Широка;66;Аптека ;ТзОВ «Аптека №18 «Під Вознесінням»;0322675060;0322675061;;;;;цілодобово;цілодобово;цілодобово;apteka1866@gmail.com;
Залізничний;Широка;66;«Соціальна аптека»;ТОВ «Мед-сервіс»;0322673838;;;;;;цілодобово;цілодобово;цілодобово;;
Залізничний;Широка;87;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322470397;0800302060;;;;;;;;office@market-univetsal.com.ua;
Залізничний;Шевченка Т.;45;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322336075      ;0800302060;;;;;;;;office@market-univetsal.com.ua;
Залізничний;Шевченка Т.;111а;Аптека «Сальве»;ТОВ «Сальве Львів»;;;;;0672233587;;;;;ap19.lviv@salve.com.ua;
Залізничний;Щирецька;36;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322955597        ;0800302060;;;;;;;;office@market-univetsal.com.ua;
Залізничний;Щирецька;36;Аптека «3і»;ТОВ «Аптека «Довіри»;0322957274;;;;;;;;;;
Личаківський;Пасічна;90;Аптека № 86;ТзОВ « 3і»;0322510990;;;;;;;;;;
Личаківський;Пасічна;92;«Сімейна аптека»;ПП «Медико»;0322590317;;;;;;;;;office@sa.lviv.ua;
Личаківський;Вашингтона Дж.;21;«Сімейна аптека»;ПП «Медико»;0322513920;;;;;;;;;office@sa.lviv.ua;
Личаківський;Вашингтона Дж.;176;Аптека «СпецАмед»;ФОП Коваленко А.Д.;0322458987;;;;;;;;;;
Личаківський;Пасічна;55;Аптека D.S.;мережа аптек D.S.;0322448642;;;;;;;;;office@market-unsal.com.ua;
Личаківський;Пасічна;70;Аптека «Знахар»;ТзОВ «Аптека Знахар»;0322645337;0322975589;;;;;;;;office@apteka-znahar.com.ua;
Личаківський;Медової Печери;1;Аптека «3і»;ТзОВ « 3і»;0322510605;;;;;;;;;office@3i.ua;
Личаківський;Металістів;9;аптека №1  «Джерело здоров'я»;ФОП Бойко Б.В.;;;;;0936222325;;;;;;
Личаківський;Пекарська;2;Аптека «Еталон здоров'я»;ТзОВ фірма «Медфарм»;0322751118;;;;;;;;;;
Личаківський;Пекарська;9;«Ветаптека»;ФОП Бербека Н.П.;0322750338;;;;;;;;;;
Личаківський;Дороша Ю.;9;Аптека ;ТзОВ «Аптека № 28 м.Львів»;0322753763;;;;;;цілодобово;цілодобово;цілодобово;;
Личаківський;Левицького К.;19;Аптека ;ФОП Демчук Л.М.;0322755741;;;;;;;;;;
Личаківський;Руставелі Ш.;6;Аптека ;ФОП Демчук Л.М.;0322755742;;;;;;;;;;
Личаківський;Франка І.;13;Аптека ;ПП «Доброго вам здоров'я»;0322756736;;;;;;;;;;
Личаківський;Зелена;1;«Аптека низьких цін»;мережа аптек;0322762416;;;;;;;;;;
Личаківський;Личаківська;57;Аптека № 49;ТзОВ «Аптека № 49»;0322755764;;;;;;;;;;
Личаківський;Личаківська;50;«Ветаптека»;ФОП Войцехівський З.;;;;;0674936065;;;;;;
Личаківський;Личаківська;54;Аптека «Знахар»;ТзОВ «Аптека Знахар»;0322256380;;;;;;;;;office@apteka-znahar.com.ua;
Личаківський;Личаківська;67;Аптека «Благодать»;ПП «Львівська Фармацевтична компанія»;;;;;;;;;;info@blago.lviv.ua;
Личаківський;Некрасова В.;4;«Аптека «3і»;ТзОВ «3і»;0322444495;;;;;;;;;;
Личаківський;Некрасова В.;11а;Аптека D.S.;мережа аптек D.S.;0322513888;;;;;;цілодобово;цілодобово;цілодобово;office@market-unsal.com.ua;
Личаківський;Некрасова В.;11а;«Ваша аптека»;ТзОВ «Ваша аптека»;0322750174;;;;;;;;;;
Личаківський;Некрасова В.;15;Аптека «Подорожник»;мережа аптек Аптека «Подорожник»;0322759303;;;;;;цілодобово;цілодобово;цілодобово;;
Личаківський;вул.Сковороди;18;«Аптека низьких цін»;мережа «Аптека низьких цін»;0322759358;;;;;;цілодобово;цілодобово;цілодобово;;
Личаківський;Зелена;73;Аптека D.S.;мережа  аптек D.S.;;;;;0982499790;;;;;office@market-unsal.com.ua;
Личаківський;Зелена;73;«Біомед»;ТзОВ ФК «Біомед»;0322971927;;;;0676765338;982499790;цілодобово;цілодобово;цілодобово;personal@biomed.lviv.ua;
Личаківський;Зелена;54;Аптека № 2 «Благодать»;ПП «Львівська Фармацевтична компанія»;0322603026;;;;;;;;;info@blago.lviv.ua;
Личаківський;вул.Коциловського;32;Аптека «Біомед»;ТзОВ ФК «Біомед»;0322764679;;;;;;;;;office@biomed.lviv.ua;
Личаківський;Пасічна;3;Аптека D.S.;мережа  аптек D.S.;0322513888;;;;;;;;;office@market-unsal.com.ua;
Личаківський;Личаківська;187;Аптека D.S.;мережа  аптек D.S.;0322241031;;;;;;;;;office@market-unsal.com.ua;
Личаківський;Личаківська;117;Аптека «3і»;ТзОВАптека «3і»;0322756162;0322257711;0322989595;;;;;;;sm@3I.ua;
Личаківський;Личаківська;26;Аптека D.S.;мережа  аптек D.S.;0322759500;;;;;;;;;office@market-unsal.com.ua;
Личаківський;Личаківська;55;Аптека D.S.;мережа  аптек D.S.;0322767620;;;;;;;;;office@market-unsal.com.ua;
Личаківський;Винниченка В.;6;«Сімейна аптека»;мережа аптек;;;;;0934537484;;;;;office@sa.lviv.ua;
Личаківський;Пекарська;33;Аптека D.S.;мережа  аптек D.S.;0322761905;;;;;;;;;office@market-unsal.com.ua;
Личаківський;Мучна;2;Аптека D.S.;мережа  аптек D.S.;0322756182;;;;;;;;;office@market-unsal.com.ua;
Личаківський;Чернігівська;7;Міжлікарняна аптека № 272;Управління майном спільної власності;0322755030;;;;;;;;;;
Сихівський;Антонича Б.-І.;10;Вітамінка;Корнелейко М.Є.;;;;;0673116796;;;;;;
Сихівський;Вашингтона Дж.;8;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322512445;;;;;;;;;apteka12@market-universal.com.ua;
Сихівський;Гашека Я.;15а;Аптека «Добра аптека»;ПП «Соломія-Сервіс»;0322345368;;;;;;;;; ;
Сихівський;Дністерська;12;Аптека;ПП ВКФ «Скайінвест»;0322444811;;;;;;;;;apteka_skaiinvest@ com.ua;
Сихівський;Дністерська;17;Аптека;ТзОВ «Фарматон»;0322405747;0322442884;;;;;;;;office@farmaton.Lviv.ua;
Сихівський;Дністерська;27;Аптека  ;Аптека №27  КП Львівської обласної ради;0322708233;;;;;;;;;apteka27d@ukr.net;
Сихівський;Довженка О.;2;Екоаптека;Труш Я.І.;;;;;0961352201;;;;;;
Сихівський;Драгана М.;1;Аптека D.S.;ТзОВ «Ваша аптека»;0322449872;;;;;;;;;office@market.universal.com.ua;
Сихівський;Драгана М.;1;Аптека  ;ТзОВ Аптека «3і»;0322273495;;;;;;;;;;
Сихівський;Драгана М.;4б;Аптека;ТзОВ ФК «Біомед»;0322456565;;;;0676739856;;цілодобово;цілодобово;цілодобово;www.office@biomed.lviv.ua;
Сихівський;Зелена;477;Аптека  (в приміщенні тублікарні);ТзОВ «Біомед»;;;;;0676707428;;;;;www.office@biomed.lviv.ua;
Сихівський;Зубрівська;7а;Аптека довіри;ТзОВ Аптека «3і»;0322320169;;;;;;;;;;
Сихівський;Кавалерідзе І.;1; Аптека,Оптіка;ПП «Дешева аптека»;0322217780;;;;;;цілодобово;цілодобово;цілодобово;kavaleridze1@biomed.in;
Сихівський;Кавалерідзе І.;2;«Сімейна аптека»;ПП «Аптека Аронія»;0322211987;;;;;;цілодобово;цілодобово;цілодобово;;
Сихівський;Кавалерідзе І.;2;«Аптека низьких цін»;ТзОВ «Аптека низьких цін»;0322212531;;;;;;;;;;
Сихівський;Кавалерідзе І.;8;Аптека;ТзОВ «Сяня Фарм»;0322454568;;;;;;;;;;
Сихівський;Карбишева Д.;9;Лайм;ТзОВ «Фарм МК»;;;;;0976386023;;;;;;
Сихівський;Луганська;6;Аптека ;ПП «Сальве»;;;;;0672233600;;;;;info@apteka_20_salve.com.ua;
Сихівський;Максимовича М.;9;Аптека D.S.;ТзОВ «Ваша аптека»;0322439339;;;;;;;;;;
Сихівський;Навроцького В.;23;Подорожник КМЛ №8;ПП «Соломія Сервіс»;0322702235;;;;0673252226;;;;;info@podoroznyk.com;
Сихівський;Навроцького В.;23;Аптека;ТзОВ Аптека «3і»;0322450167;;;;;;цілодобово;цілодобово;цілодобово;;
Сихівський;Сихівська;10;Аптека  дрібно-гуртових цін;Фетько М.М.;0322454575;;;;0986594615;;;;;;
Сихівський;Сихівська;12;Аптека D.S.;ТзОВ «Ваша аптека»;0322235071;;;;;;;;; ;
Сихівський;Сихівська;12а;Аптека;ТзОВ «Медікум Захід»;;;;;0680645351;;;;;;
Сихівський;Сихівська;14;Аптека № 296;Комунальне підприємство Львівської обласної ради;0322217607;;;;;;;;;apteka296@ukr.net;
Сихівський;Сихівська;22;Аптека «Знахар»;ТзОВ «Аптека Знахар» Мокрий Т.М.;;;;;0677123913;;;;;;
Сихівський;Скорини Ф.;44;Аптека;ТзОВ «Оригінальні препарати»;;;;;0676702992;;;;;;
Сихівський;Скрипника М.;23;Аптека;Борис О.П.;;;;;0974107035;;;;;;
Сихівський;Стрийська;57;Аптека;ТзОВ «Сомрай»;0322231625;;;;;;;;;;
Сихівський;Стрийська;59;Аптека D.S.;ТзОВ «Маркет універсал ЛТД»;0322326290;;;;;;;;;;
Сихівський;Стрийська;103;Аптека D.S.;ТзОВ «Маркет універсал ЛТД»;0322439393;;;;;;;;;;
Сихівський;Стрийська;107;Аптека D.S.;ТзОВ«Ваша аптека»;0322232325;;;;;;цілодобово;цілодобово;цілодобово;;
Сихівський;Трильовського К.;20;Аптека;Шейхо К.Д.;0322405960;;;;;;;;;;
Сихівський;Хоткевича Г.;30а;Сімейна аптека;Тов «Аронія»;0322447803;;;;;;;;;Lv_hotkevycha30a@farmastor.com;
Сихівський;Червоної Калини просп.;36а;Аптека;ТзОВ «Маркет універсал»;0322443870;;;;;;;;;;
Сихівський;Червоної Калини просп.;42;Бажаємо здоров’я;ТзОВ «Ай Пі Фармація»;0322210002;;;;0632517748;;;;;apf21@apteka.net.ua;
Сихівський;Червоної Калини просп.;42;Подорожник;ПП «Соломія Сервіс»;0322223838;;;;0673711705;;цілодобово;цілодобово;цілодобово;;
Сихівський;Червоної Калини просп.;53;Аптека;ТзОВ Аптека «3і»;0322321830;;;;;;;;;;
Сихівський;Червоної Калини просп.;57;Аптечний пункт №2 (приміщенні поліклініки);ТзОВ Аптека «3і»;;;;;0503714571;;;;;;
Сихівський;Червоної Калини просп.;64;Аптека «Знахар»;ТзОВ «Візард-Л»;0322645337;;;;0674298614;;;;;;
Сихівський;Червоної Калини просп.;68;Подорожник;ПП «Соломія Сервіс»;0322539339;0322539335;;;0673700844;;цілодобово;цілодобово;цілодобово;;
Сихівський;Червоної Калини просп.;68;Подорожник (в приміщенні поліклініки);ПП ТММП фірма «Едельвейс»;;;;;0675005151;;;;;;
Сихівський;Червоної Калини просп.;85;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322439393;;;;;;;;;office@market-universal.com.ua;
Сихівський;Червоної Калини просп.;94;Подорожник;Матківський А.;0322456845;;;;0675558017;;;;;;
Сихівський;Червоної Калини просп.;97;Подорожник;ПП «Соломія Сервіс»;0322225623;;;;0673733426;;цілодобово;цілодобово;цілодобово;info@podorozhnyk.com;
Сихівський;Червоної Калини просп.;97;Подорожник;Овсяник О.М.;;;;;0973442186;;;;;;
Сихівський;Червоної Калини просп.;105;«Аптека низьких цін»;ТзОВ «Аптека низьких цін»;0322225755;;;;;;;;;;
Сихівський;Червоної Калини просп.;109;Мед-Сервіс;ТзОВ «Мед Сервіс»;0322229640;;;;;;цілодобово;цілодобово;цілодобово;;
Сихівський;Червоної Калини просп.;109; Біомед;Шилович Л.Ф.;0322229264;;;;;;;;;mail@biomed.lviv.ua;
Сихівський;Угорська;8;Аптека D.S.;ТзОВ «Ваша аптека»;0322970106;;;;;;;;;office@market-universal.com.ua;
Франківський;Медведецького Ю., проф.;29;Аптека «Пульс»;ТзОВ «Декада-2000»;0322925756;0322401021;;;;;цілодобово;цілодобово;цілодобово;dekada2000@ukr.net;
Франківський;Городоцька;215;Аптека;КП ЛОР міжлікарняна лікарня №289;0322926264;;;;;;;;;Apteka289@i.ua;
Франківський;Городоцька;181;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322375915;;;;;;;;;office@market-universal.com.ua;
Франківський;Городоцька;179;«Сімейна аптека»;ПП «Аронія»;0322471512;;;;;;цілодобово;цілодобово;цілодобово;office@sa.lviv.ua ;
Франківський;Городоцька;177;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322375915;;;;;;;;;office@market-universal.com.ua;
Франківський;Городоцька;173;«Аптека низьких цін №22»;ТзОВ «Аптека низьких цін» Львів»;0322371182;;;;;;;;;lviv@aptekanizkihcen.ua;
Франківський;Городоцька;159;Аптека;ТзОВ «Ай пі Фармація»;0322378795;;;;0631971815;;;;;torg@apteka.net.ua;
Франківський;Городоцька;143;«Аптека низьких цін №30»;ТзОВ «Аптека низьких цін» Львів»;0322380172;;;;;;;;;lviv@aptekanizkihcen.ua;
Франківський;Городоцька;143;Аптека «Мед сервіс»;ТзОВ «Львів Медсервіс»;0322382167;;;;;;цілодобово;цілодобово;цілодобово;apt1l@med-service.dp.ua;
Франківський;Кропивницького М. пл;10;Аптека «Рецептіка»;ТзОВ «І.К.Вел»;0322379347;;;;0676930684;;;;;;
Франківський;Федьковича Ю.;10;Аптека;ФОП Демчук Любов Михайлівна;0322377201;;;;;;;;;;
Франківський;Федьковича Ю.;21;Аптека «Опт торг» №25;ТзОВ «Менго»;;;;;0674454863;;;;;Apteka25@mengo.dp.ua;
Франківський;Федьковича Ю.;26;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;;;;;;;;;;office@market-universal.com.ua;
Франківський;Федьковича Ю.;54;Аптека №1;Підприємство об'єднання громадян (релігійної організації, профспілки) підприємство «Рокс-Львів»;0322263000;;;;;;;;;Roks-apoteka@ukr.net;
Франківський;Горської А.;9;«Сімейна аптека»;ПП «Аронія»;;;;;0933547067;;;;;office@sa.lviv.ua ;
